,YearStart,YearEnd,LocationAbbr,Topic,Question,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,DataValueTypeID,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Latitude,Longitude,HealthCluster
50224,2021,2021,IL,Mental Health,Current poor mental health among high school students,Crude Prevalence,30.0,28.3,31.8,Overall,Overall,17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50225,2021,2021,IL,Immunization,Influenza vaccination among adults,Crude Prevalence,54.8,52.1,57.5,Race/Ethnicity,"White, non-Hispanic",17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50226,2021,2021,HI,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,51.7,48.7,54.8,Age,Age >=65,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50227,2021,2021,KS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,Crude Prevalence,28.0,21.5,35.6,Race/Ethnicity,Hispanic,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50228,2021,2021,IL,Arthritis,Severe joint pain among adults with arthritis,Crude Prevalence,34.6,22.6,48.9,Race/Ethnicity,"Black, non-Hispanic",17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50229,2021,2021,IA,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,Crude Prevalence,33.5,30.0,37.2,Age,Age 45-64,19,CRDPREV,,,,,42.46940091300047,-93.81649055599968,0
50230,2021,2021,IL,Tobacco,Current tobacco use of any tobacco product among high school students,Crude Prevalence,5.6,3.0,10.3,Race/Ethnicity,"Asian, non-Hispanic",17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50231,2021,2022,KS,Cognitive Health and Caregiving,Provided care for a friend or family member in the past month among adults,Crude Prevalence,15.7,11.6,21.0,Race/Ethnicity,Hispanic,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50232,2021,2021,KY,Alcohol,Alcohol use among high school students,Crude Prevalence,25.8,19.1,33.8,Grade,Grade 12,21,CRDPREV,,,,,37.645970271000465,-84.77497104799966,1
50233,2021,2021,KS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,Crude Prevalence,41.0,36.9,45.2,Race/Ethnicity,Hispanic,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50234,2021,2021,HI,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,29.2,26.0,32.7,Race/Ethnicity,"Multiracial, non-Hispanic",15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50235,2021,2021,HI,Disability,Adults with any disability,Crude Prevalence,20.4,11.3,33.9,Race/Ethnicity,"Black, non-Hispanic",15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50236,2021,2021,ID,Arthritis,Arthritis among adults,Crude Prevalence,21.4,19.8,23.1,Sex,Male,16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50237,2021,2021,IL,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,51.1,41.8,60.3,Race/Ethnicity,"White, non-Hispanic",17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50238,2021,2021,KY,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,Crude Prevalence,12.9,10.1,16.4,Sex,Male,21,CRDPREV,,,,,37.645970271000465,-84.77497104799966,1
